0 csv2kmn.py
1 PT.csv
2 76
3 PT
['\uec5b', 'ec5b', 'Eliezer', 'Eliézer']
['\ue36a', 'e36a', 'Elijah', 'Elias']
['\uec5c', 'ec5c', 'Elisha', 'Eliseu']
['\uea6f', 'ea6f', 'Eliud', 'Eliúde']
['\uec3a', 'ec3a', 'Elizabeth', 'Isabel']
['\uec5d', 'ec5d', 'Elmadam', 'Elmadã']
['\uec5e', 'ec5e', 'Emmaus', 'Emaús']
['\ueb5d', 'eb5d', 'Emmor', 'Hamor']
['\ue277', 'e277', 'empty', 'esvaziar']
['\ue262', 'e262', 'encourage', 'encorajar']
['\ue232', 'e232', 'end', 'fim']
['\ue170', 'e170', 'endure', 'durar']
['\ue025', 'e025', 'enemy', 'inimigo']
['\ue01b', 'e01b', 'enmity', 'inimizade']
['\uec5f', 'ec5f', 'Enoch', 'Enoque']
['\uec60', 'ec60', 'Enos', 'Enos']
['\ue242', 'e242', 'enter', 'entrar']
['\ue022', 'e022', 'envy', 'inveja']
['\uebc1', 'ebc1', 'Epaenetus', 'Epêneto']
['\uece4', 'ece4', 'Epaphras', 'Epafras']
['\uece4', 'ece4', 'Epaphroditus', 'Epafrodito']
['\uec0c', 'ec0c', 'Ephesus', 'Éfeso']
['\ueba4', 'eba4', 'Ephraim_land        ', 'Cidade_Efraim']
['\ueba3', 'eba3', 'Ephraim_man         ', 'Efraim']
['\uec05', 'ec05', 'Epicurean', 'Epicureus']
['\ue24b', 'e24b', 'equal', 'igual']
['\uec61', 'ec61', 'Er', 'Er']
['\uec0e', 'ec0e', 'Erastus', 'Erasto']
['\uebc2', 'ebc2', 'Esau', 'Esaú']
['\uec49', 'ec49', 'Esli', 'Esli']
['\ue252', 'e252', 'eternal', 'eterno']
['\ue252', 'e252', 'eternity', 'eternidade']
['\uec32', 'ec32', 'Ethiopia', 'Etiópia']
['\uecb3', 'ecb3', 'Eubulus', 'Êubulo']
['\uecb4', 'ecb4', 'Eunice', 'Eunice']
['\ueb8f', 'eb8f', 'eunuch', 'eunuco']
[' \uec3c ', 'ece5', 'Euodia', 'Euodia']
['\uecd8', 'ecd8', 'Euphrates_River', 'Rio_Eufrates']
['\ueb1f', 'eb1f', 'Eutychus', 'Êutico']
['\ue13f', 'e13f', 'evangelist', 'evangelista']
['\uebeb', 'ebeb', 'Eve', 'evangelista']
['\ue273', 'e273', 'evening', 'noite']
['\ue140', 'e140', 'everyone', 'todos']
['\ue114', 'e114', 'everything', 'tudo']
['\ue155', 'e155', 'everywhere', 'em_toda_parte']
['\ue04b', 'e04b', 'exalt', 'exaltar']
['\uecf0', 'ecf0', 'example', 'exemplo']
['\ue059', 'e059', 'explain', 'explicar']
['\ue059', 'e059', 'explanation', 'explicação']
['\ue238', 'e238', 'eye', 'olho']
['\ue253', 'e253', 'fabric', 'tecido']
['\ue203', 'e203', 'face', 'face']
['\uec18', 'ec18', 'Fair_Haven', 'Refúgio_Justo']
['\ue06f', 'e06f', 'faith', 'fé']
['\ue219', 'e219', 'faithful', 'fiel']
['\ue219', 'e219', 'faithfulness', 'fidelidade']
['\ue218', 'e218', 'fall', 'cair']
['\ue17f', 'e17f', 'false ', 'FALSE']
['\ue176', 'e176', 'family', 'família']
['\ue18d', 'e18d', 'famine', 'fome']
['\ue197', 'e197', 'far ', 'longe']
['\uec83', 'ec83', 'farewell', 'despedida']
['\ueb91', 'eb91', 'farm', 'fazenda']
['\ue133', 'e133', 'farmer', 'agricultor']
['\ue18e', 'e18e', 'fast_no_eat', 'jejuar_não_comer']
['\ue21a', 'e21a', 'fast_speed', 'rápida_velocidade']
['\uea86', 'ea86', 'fat', 'gordo']
['\ueb11', 'eb11', 'fat_animal', 'graxa_animal']
['\ue003', 'e003', 'father', 'pai']
['\ue056', 'e056', 'fear', 'temor']
['\ue054', 'e054', 'feast', 'festa']
['\ueb99', 'eb99', 'Felix', 'Félix']
['\ue20b', 'e20b', 'festival', 'festival']
['\ue19b', 'e19b', 'few', 'poucos']
['\ueb91', 'eb91', 'field', 'campo']
['\ueda2', 'eda2', 'fig', 'figo']
['\ue283', 'e283', 'fight', 'luta']
['\ue278', 'e278', 'fill', 'preencher']
['\ue101', 'e101', 'find', 'encontrar']
['\ueba5', 'eba5', 'finger', 'dedo']
['\ue232', 'e232', 'finish', 'terminar']
